Trade Year,Options Class,Underlying,Product Type,Exchange,Volume
2020,APPF,APPF,S,CBOE,4706
2020,APPN,APPN,S,CBOE,83294
2020,2APPS,APPS,S,CBOE,1000
2020,APPS,APPS,S,CBOE,166833
2020,APRN,APRN,S,CBOE,131408
2020,APRN1,APRN,S,CBOE,377
2020,APT,APT,S,CBOE,304239
2020,2APTV,APTV,S,CBOE,91
2020,APTV,APTV,S,CBOE,35001
2020,APVO,APVO,S,CBOE,217
2020,APVO1,APVO,S,CBOE,181
2020,APXT,APXT,S,CBOE,16450
2020,AQMS,AQMS,S,CBOE,9850
2020,AQN,AQN,S,CBOE,757
2020,AR,AR,S,CBOE,169966
2020,ARA,ARA,S,CBOE,11320
2020,ARAV,ARAV,S,CBOE,2267
2020,ARAY,ARAY,S,CBOE,6251
2020,ARC,ARC,S,CBOE,98
2020,ARCB,ARCB,S,CBOE,926
2020,ARCC,ARCC,S,CBOE,68518
2020,ARCH,ARCH,S,CBOE,5303
2020,ARCO,ARCO,S,CBOE,5964
2020,ARCT,ARCT,S,CBOE,49240
2020,ARD,ARD,S,CBOE,1219
2020,ARDX,ARDX,S,CBOE,11988
2020,ARE,ARE,S,CBOE,6358
2020,ARES,ARES,S,CBOE,3646
2020,ARGT,ARGT,S,CBOE,11264
2020,2ARGX,ARGX,S,CBOE,190
2020,ARGX,ARGX,S,CBOE,2491
2020,1ARI,ARI,S,CBOE,6750
2020,ARI,ARI,S,CBOE,8168
2020,ARKF,ARKF,S,CBOE,20451
2020,ARKG,ARKG,S,CBOE,59213
2020,ARKK,ARKK,S,CBOE,204022
2020,ARKQ,ARKQ,S,CBOE,12594
2020,ARKW,ARKW,S,CBOE,12929
2020,ARLO,ARLO,S,CBOE,35055
2020,ARLP,ARLP,S,CBOE,27757
2020,2ARMK,ARMK,S,CBOE,897
2020,ARMK,ARMK,S,CBOE,26756
2020,ARNA,ARNA,S,CBOE,22847
2020,ARNC,ARNC,S,CBOE,93386
2020,AROC,AROC,S,CBOE,3753
2020,ARQL,ARQL,S,CBOE,2427
2020,ARR,ARR,S,CBOE,36027
2020,1ARRY,ARRY,S,CBOE,400
2020,ARRY,ARRY,S,CBOE,15540
2020,ARVN,ARVN,S,CBOE,7352
2020,ARW,ARW,S,CBOE,1358
2020,2ARWR,ARWR,S,CBOE,3400
2020,ARWR,ARWR,S,CBOE,76017
2020,ASA,ASA,S,CBOE,2043
2020,ASAN,ASAN,S,CBOE,10839
2020,ASB,ASB,S,CBOE,2647
2020,ASC,ASC,S,CBOE,5606
2020,ASGN,ASGN,S,CBOE,3697
2020,ASH,ASH,S,CBOE,9100
2020,ASHR,ASHR,S,CBOE,488374
2020,ASHS,ASHS,S,CBOE,1826
2020,ASIX,ASIX,S,CBOE,3948
2020,ASMB,ASMB,S,CBOE,3321
2020,ASML,ASML,S,CBOE,38933
2020,ASNA,ASNA,S,CBOE,18179
2020,ASNA1,ASNA,S,CBOE,268
2020,ASND,ASND,S,CBOE,11517
2020,ASO,ASO,S,CBOE,10365
2020,ASPN,ASPN,S,CBOE,485
2020,ASPS,ASPS,S,CBOE,7191
2020,ASR,ASR,S,CBOE,805
2020,ASRT,ASRT,S,CBOE,13753
2020,ASTE,ASTE,S,CBOE,388
2020,ASUR,ASUR,S,CBOE,3875
2020,ASYS,ASYS,S,CBOE,951
2020,AT,AT,S,CBOE,3453
2020,ATCO,ATCO,S,CBOE,4849
2020,ATEC,ATEC,S,CBOE,10810
2020,ATEN,ATEN,S,CBOE,9337
2020,ATEX,ATEX,S,CBOE,23468
2020,ATGE,ATGE,S,CBOE,2721
2020,ATH,ATH,S,CBOE,17447
2020,ATHM,ATHM,S,CBOE,11587
2020,ATHX,ATHX,S,CBOE,78168
2020,ATI,ATI,S,CBOE,19796
2020,ATKR,ATKR,S,CBOE,4126
2020,ATLC,ATLC,S,CBOE,4545
2020,ATNI,ATNI,S,CBOE,309
2020,ATNM,ATNM,S,CBOE,2337
2020,ATNX,ATNX,S,CBOE,11454
2020,ATO,ATO,S,CBOE,1960
2020,ATOM,ATOM,S,CBOE,7264
2020,ATR,ATR,S,CBOE,1418
2020,ATRA,ATRA,S,CBOE,6837
2020,ATRS,ATRS,S,CBOE,13120
2020,ATSG,ATSG,S,CBOE,9324
2020,ATUS,ATUS,S,CBOE,78320
2020,ATVI,ATVI,S,CBOE,994476
2020,AU,AU,S,CBOE,85304
2020,AUB,AUB,S,CBOE,4557
2020,AUDC,AUDC,S,CBOE,16052
2020,AUOTY,AUOTY,S,CBOE,12
2020,AUPH,AUPH,S,CBOE,73665
2020,AUTO,AUTO,S,CBOE,4598
2020,AUY,AUY,S,CBOE,726856
2020,AVA,AVA,S,CBOE,2006
2020,AVAV,AVAV,S,CBOE,13904
2020,2AVB,AVB,S,CBOE,15924
2020,AVB,AVB,S,CBOE,10894
2020,2AVD,AVD,S,CBOE,1000
2020,AVD,AVD,S,CBOE,97
2020,AVDL,AVDL,S,CBOE,55454
2020,AVEO,AVEO,S,CBOE,19408
2020,AVEO1,AVEO,S,CBOE,1584
2020,2AVGO,AVGO,S,CBOE,6502
2020,AVGO,AVGO,S,CBOE,568263
2020,AVH,AVH,S,CBOE,362
2020,AVHOQ,AVHOQ,S,CBOE,22
2020,AVID,AVID,S,CBOE,7895
2020,2AVLR,AVLR,S,CBOE,420
2020,AVLR,AVLR,S,CBOE,30947
2020,AVNS,AVNS,S,CBOE,1427
2020,AVNT,AVNT,S,CBOE,349
2020,AVP,AVP,S,CBOE,279
2020,AVT,AVT,S,CBOE,17306
2020,AVTR,AVTR,S,CBOE,30384
2020,AVX,AVX,S,CBOE,258
2020,AVXL,AVXL,S,CBOE,44308
2020,AVY,AVY,S,CBOE,3232
2020,AVYA,AVYA,S,CBOE,55003
2020,AWI,AWI,S,CBOE,2357
2020,2AWK,AWK,S,CBOE,3
2020,AWK,AWK,S,CBOE,17852
2020,AWR,AWR,S,CBOE,1511
2020,AWRE,AWRE,S,CBOE,367
2020,AX,AX,S,CBOE,5146
2020,AXAS,AXAS,S,CBOE,3850
2020,AXAS1,AXAS,S,CBOE,70
2020,AXDX,AXDX,S,CBOE,19612
2020,AXGN,AXGN,S,CBOE,2472
2020,AXGT,AXGT,S,CBOE,11261
2020,AXGT1,AXGT,S,CBOE,6
2020,AXL,AXL,S,CBOE,32547
2020,AXNX,AXNX,S,CBOE,53299
2020,1AXP,AXP,S,CBOE,4504
2020,2AXP,AXP,S,CBOE,318
2020,AXP,AXP,S,CBOE,650398
2020,AXS,AXS,S,CBOE,7077
2020,AXSM,AXSM,S,CBOE,63207
2020,AXTA,AXTA,S,CBOE,118667
2020,AXTI,AXTI,S,CBOE,7749
2020,AXU,AXU,S,CBOE,28547
2020,2AY,AY,S,CBOE,4
2020,AY,AY,S,CBOE,3044
2020,AYI,AYI,S,CBOE,11814
2020,AYR,AYR,S,CBOE,654
2020,AYRO,AYRO,S,CBOE,44543
2020,AYX,AYX,S,CBOE,214135
2020,2AZN,AZN,S,CBOE,13508
2020,AZN,AZN,S,CBOE,646699
2020,AZO,AZO,S,CBOE,89233
2020,AZPN,AZPN,S,CBOE,9303
2020,AZUL,AZUL,S,CBOE,58506
2020,AZZ,AZZ,S,CBOE,3115
2020,B,B,S,CBOE,417
2020,2BA,BA,S,CBOE,39759
2020,BA,BA,S,CBOE,9714840
2020,1BABA,BABA,S,CBOE,7223
2020,2BABA,BABA,S,CBOE,12800
2020,BABA,BABA,S,CBOE,7903236
2020,1BAC,BAC,S,CBOE,19300
2020,2BAC,BAC,S,CBOE,11894
2020,BAC,BAC,S,CBOE,9516513
2020,BAH,BAH,S,CBOE,12617
2020,BAL,BAL,S,CBOE,1247
2020,BALY,BALY,S,CBOE,3966
2020,BAM,BAM,S,CBOE,15668
2020,BAM1,BAM,S,CBOE,10
2020,BAM2,BAM,S,CBOE,406
2020,1BANC,BANC,S,CBOE,3000
2020,BANC,BANC,S,CBOE,16316
2020,2BAND,BAND,S,CBOE,264
2020,BAND,BAND,S,CBOE,19935
2020,BANR,BANR,S,CBOE,400
2020,2BAP,BAP,S,CBOE,2
2020,BAP,BAP,S,CBOE,2792
2020,BAX,BAX,S,CBOE,67682
2020,BB,BB,S,CBOE,603575
2020,BBAR,BBAR,S,CBOE,5038
2020,BBBY,BBBY,S,CBOE,1268174
2020,BBD,BBD,S,CBOE,69646
2020,BBD1,BBD,S,CBOE,944
2020,BBD2,BBD,S,CBOE,144
2020,BBD3,BBD,S,CBOE,632
2020,BBDC,BBDC,S,CBOE,391
2020,BBEU,BBEU,S,CBOE,5
2020,BBH,BBH,S,CBOE,724
2020,BBI1,BBI,S,CBOE,2093
2020,2BBIO,BBIO,S,CBOE,1500
2020,BBIO,BBIO,S,CBOE,11517
2020,BBL,BBL,S,CBOE,3280
2020,BBSI,BBSI,S,CBOE,361
2020,BBU,BBU,S,CBOE,1624
2020,BBVA,BBVA,S,CBOE,19691
2020,BBW,BBW,S,CBOE,4855
2020,2BBY,BBY,S,CBOE,4057
2020,BBY,BBY,S,CBOE,433707
2020,BC,BC,S,CBOE,20503
2020,BCC,BCC,S,CBOE,4497
2020,2BCE,BCE,S,CBOE,254000
2020,BCE,BCE,S,CBOE,4766
2020,BCEI,BCEI,S,CBOE,1446
2020,BCI,BCI,S,CBOE,186
2020,BCLI,BCLI,S,CBOE,80746
2020,BCO,BCO,S,CBOE,3878
2020,BCOR,BCOR,S,CBOE,13833
2020,1BCOV,BCOV,S,CBOE,25500
2020,BCOV,BCOV,S,CBOE,11922
2020,BCPC,BCPC,S,CBOE,183
2020,BCRX,BCRX,S,CBOE,259425
2020,BCS,BCS,S,CBOE,100633
2020,BDC,BDC,S,CBOE,1195
2020,BDN,BDN,S,CBOE,2605
2020,BDSI,BDSI,S,CBOE,14637
2020,2BDX,BDX,S,CBOE,34
2020,BDX,BDX,S,CBOE,73885
2020,BE,BE,S,CBOE,231383
2020,1BEAM,BEAM,S,CBOE,212
2020,2BEAM,BEAM,S,CBOE,212
2020,BEAM,BEAM,S,CBOE,3948
2020,BEAT,BEAT,S,CBOE,9211
2020,BECN,BECN,S,CBOE,4372
2020,BEKE,BEKE,S,CBOE,34744
2020,2BEN,BEN,S,CBOE,34
2020,BEN,BEN,S,CBOE,37957
2020,BEPC,BEPC,S,CBOE,1977
2020,BEPC1,BEPC,S,CBOE,150
2020,BEPC2,BEPC,S,CBOE,179
2020,BERY,BERY,S,CBOE,29751
2020,BEST,BEST,S,CBOE,9753
2020,BETZ,BETZ,S,CBOE,17873
2020,BFAM,BFAM,S,CBOE,2182
2020,BFB,BFB,S,CBOE,2330
2020,BFOR,BFOR,S,CBOE,352
2020,BFYT,BFYT,S,CBOE,32010
2020,2BG,BG,S,CBOE,151
2020,BG,BG,S,CBOE,71149
2020,BGCP,BGCP,S,CBOE,459495
2020,BGCP1,BGCP,S,CBOE,394
2020,BGFV,BGFV,S,CBOE,41450
2020,BGG,BGG,S,CBOE,14666
2020,BGGSQ,BGGSQ,S,CBOE,669
2020,BGNE,BGNE,S,CBOE,5846
2020,BGS,BGS,S,CBOE,72448
2020,2BHC,BHC,S,CBOE,17508
2020,BHC,BHC,S,CBOE,630792
2020,BHE,BHE,S,CBOE,556
2020,BHF,BHF,S,CBOE,20313
2020,2BHP,BHP,S,CBOE,1445
2020,BHP,BHP,S,CBOE,52893
2020,BHP1,BHP,S,CBOE,71
2020,BHR,BHR,S,CBOE,4875
2020,1BHVN,BHVN,S,CBOE,22000
2020,BHVN,BHVN,S,CBOE,67246
2020,BIB,BIB,S,CBOE,9051
2020,1BIDU,BIDU,S,CBOE,2000
2020,2BIDU,BIDU,S,CBOE,2
2020,BIDU,BIDU,S,CBOE,1395025
2020,BIG,BIG,S,CBOE,119326
2020,BIGC,BIGC,S,CBOE,99843
2020,2BIIB,BIIB,S,CBOE,10
2020,BIIB,BIIB,S,CBOE,325050
2020,BIL,BIL,S,CBOE,5238
2020,BILI,BILI,S,CBOE,406465
2020,BILL,BILL,S,CBOE,63908
2020,BIO,BIO,S,CBOE,3657
2020,BIOC,BIOC,S,CBOE,2308
2020,BIP,BIP,S,CBOE,4681
2020,BIP1,BIP,S,CBOE,130
2020,BIS,BIS,S,CBOE,1868
2020,BIS1,BIS,S,CBOE,76
2020,BITA,BITA,S,CBOE,5201
2020,BIV,BIV,S,CBOE,2551
2020,BJ,BJ,S,CBOE,96514
2020,BJK,BJK,S,CBOE,11118
2020,BJRI,BJRI,S,CBOE,20928
2020,BK,BK,S,CBOE,107612
2020,BKCC,BKCC,S,CBOE,4979
2020,BKD,BKD,S,CBOE,17792
2020,BKE,BKE,S,CBOE,12118
2020,BKEP,BKEP,S,CBOE,324
2020,BKF,BKF,S,CBOE,147
2020,BKLN,BKLN,S,CBOE,261198
