,ticker,year,jan_close,feb_close,mar_close,apr_close,may_close,jun_close,jul_close,aug_close,sep_close,oct_close,nov_close,dec_close,percentage_change,direction
2766,OXY,2015,60.896114349365234,59.28235626220703,56.088871002197266,61.54405212402344,60.07654571533203,60.325897216796875,54.45387649536133,56.63357162475586,51.870849609375,58.44981002807617,59.273128509521484,53.5955810546875,1.0640051201640537,1
2767,OXY,2016,54.56267166137695,54.64767074584961,54.923519134521484,61.52109146118164,60.549896240234375,61.24374771118164,60.57102584838867,62.289329528808594,59.68551254272461,59.67732238769531,58.40863800048828,58.93840408325195,12.753077494059578,1
2768,OXY,2017,56.07546615600586,54.238563537597656,53.049625396728516,51.525779724121094,49.34050750732422,50.75320053100586,52.49951171875,50.609092712402344,55.118412017822266,55.42743682861328,60.517791748046875,63.93967819213867,-8.113506215404827,-1
2769,OXY,2018,65.0768051147461,56.943294525146484,57.06174087524414,67.8662338256836,73.96241760253906,74.16600799560547,74.38758087158203,70.78917694091797,73.56742858886719,60.04829406738281,62.913272857666016,55.596248626708984,4.286363944909503,1
2770,OXY,2019,60.48741149902344,59.916778564453125,60.68204879760742,53.972198486328125,45.62153625488281,46.83393859863281,47.83991622924805,40.4999885559082,42.15470504760742,38.391395568847656,36.56188201904297,39.87187957763672,-10.771188336932719,-1
2771,OXY,2020,38.430267333984375,31.67691421508789,11.543505668640137,16.547683715820312,12.909186363220215,18.2528076171875,15.69941234588623,12.707147598266602,9.993965148925781,9.115375518798828,15.734756469726562,17.29131317138672,-56.941013259132376,-1
2772,OXY,2021,20.038341522216797,26.58127212524414,26.600196838378906,25.341136932373047,25.94068717956543,31.257448196411133,26.089523315429688,25.6796875,29.579999923706055,33.529998779296875,30.059999465942383,,26.463244995984148,1
2773,PAYC,2014,,,,15.40999984741211,13.350000381469727,14.59000015258789,12.779999732971191,17.920000076293945,16.559999465942383,17.75,28.75,26.329999923706055,,-1
2774,PAYC,2015,26.170000076293945,31.8799991607666,32.060001373291016,31.610000610351562,34.7599983215332,34.150001525878906,32.0,38.540000915527344,35.90999984741211,38.0099983215332,43.599998474121094,37.630001068115234,20.787162851349905,1
2775,PAYC,2016,30.149999618530273,31.8799991607666,35.599998474121094,38.209999084472656,40.439998626708984,43.209999084472656,47.209999084472656,51.34000015258789,50.130001068115234,51.72999954223633,44.869998931884766,45.4900016784668,26.733000225275905,1
2776,PAYC,2017,46.2400016784668,53.83000183105469,57.5099983215332,60.25,65.44000244140625,68.41000366210938,70.08999633789062,74.61000061035156,74.95999908447266,82.19999694824219,82.0,80.33000183105469,30.298438176868466,1
2777,PAYC,2018,91.63999938964844,98.91999816894531,107.38999938964844,114.20999908447266,105.47000122070312,98.83000183105469,106.25,155.1199951171875,155.41000366210938,125.19999694824219,132.77000427246094,122.44999694824219,24.62898280788695,1
2778,PAYC,2019,148.24000549316406,181.72999572753906,189.1300048828125,202.52999877929688,212.10000610351562,226.72000122070312,240.75,250.1199951171875,209.49000549316406,211.52999877929688,276.80999755859375,264.760009765625,36.62303782674667,1
2779,PAYC,2020,318.1600036621094,282.6499938964844,202.00999450683594,261.0199890136719,297.2300109863281,309.7300109863281,284.3699951171875,299.4599914550781,311.29998779296875,364.0899963378906,417.0799865722656,452.25,-17.959521621429523,-1
2780,PAYC,2021,379.739990234375,374.239990234375,370.05999755859375,384.4100036621094,329.6000061035156,363.4700012207031,400.0,488.8999938964844,495.75,547.8499755859375,447.42999267578125,,1.229792370524908,1
2781,PAYX,2014,32.73763656616211,32.690677642822266,33.348243713378906,32.729820251464844,32.462738037109375,32.81808090209961,32.68037033081055,33.19037628173828,35.22243881225586,37.717491149902344,38.09514617919922,37.098785400390625,-0.02387562303549008,-1
2782,PAYX,2015,36.664764404296875,40.374977111816406,40.19676971435547,39.20035934448242,40.3394889831543,38.273929595947266,38.225765228271484,36.79228591918945,39.23907470703125,42.837608337402344,45.05507278442383,43.925575256347656,6.915617709215094,1
2783,PAYX,2016,40.106449127197266,43.06456756591797,45.26011276245117,43.67630386352539,45.803993225097656,50.264434814453125,50.4638786315918,51.64714813232422,49.26356887817383,47.385169982910156,50.60426712036133,52.261024475097656,8.900949383492817,1
2784,PAYX,2017,52.1467170715332,53.124080657958984,50.944454193115234,51.273136138916016,51.633323669433594,49.63703918457031,50.853118896484375,50.13228988647461,52.70792007446289,56.51297378540039,59.631412506103516,60.3135871887207,-1.6752366815706483,-1
2785,PAYX,2018,60.90837478637695,58.12400817871094,54.96479034423828,54.05451202392578,59.05421829223633,61.5485725402832,62.659114837646484,66.49927520751953,66.86241912841797,59.974090576171875,64.80023193359375,59.66274642944336,-11.252742806698791,-1
2786,PAYX,2019,65.3512954711914,71.09262084960938,74.02787780761719,77.82157135009766,79.77963256835938,76.52483367919922,77.79151916503906,76.52696990966797,77.52922821044922,78.92220306396484,81.2623062133789,80.26210021972656,19.08191075478141,1
2787,PAYX,2020,81.50656127929688,73.62865447998047,59.792381286621094,65.11402130126953,69.38195037841797,72.71281433105469,69.63310241699219,74.03842163085938,77.23348999023438,80.23799896240234,90.8713607788086,90.900634765625,-20.111926844582932,-1
2788,PAYX,2021,85.78094482421875,89.46484375,96.29235076904297,95.77169036865234,100.01457214355469,106.10602569580078,113.21104431152344,113.8575668334961,111.84837341308594,123.27999877929688,123.7300033569336,,11.64681219693547,1
2789,PBCT,2014,10.08169937133789,10.053322792053223,10.549958229064941,10.249462127685547,10.31406021118164,10.888257026672363,10.538106918334961,10.850184440612793,10.501816749572754,10.733156204223633,10.850615501403809,11.144274711608887,1.6640325223801364,1
2790,PBCT,2015,10.4492769241333,11.236498832702637,11.288481712341309,11.345985412597656,11.683889389038086,12.171965599060059,12.345524787902832,11.761256217956543,11.935774803161621,12.226981163024902,12.840242385864258,12.380292892456055,8.581536262986269,1
2791,PBCT,2016,11.148326873779297,11.334519386291504,12.358585357666016,12.152913093566895,12.450855255126953,11.494303703308105,12.020330429077148,12.884590148925781,12.543642044067383,13.011038780212402,14.997945785522461,15.510698318481445,9.011094051703578,1
2792,PBCT,2017,15.157313346862793,15.521093368530273,14.712701797485352,14.258862495422363,13.524287223815918,14.4139404296875,14.375039100646973,13.76508903503418,14.952017784118652,15.524795532226562,15.824312210083008,15.558073997497559,-5.927507275729626,-1
